id,name,category_id,created_at
c6c0c5be-33af-4a3b-8d7a-a3f2c1a7db3c,Herbal Supplements,7214a9c9-a31f-4071-8cc8-4c4bf0fbefb2,2025-02-22 23:21:26.411999+00
c7ef73ba-7991-49f8-8981-efe4cbf9f559,Digestive Aids,41770088-36c8-4bd4-9be8-250b35e9797b,2025-02-22 23:21:31.683409+00
d07f3b35-0e15-40ec-9f1e-c05d9de32341,Pain Medication,a4e44069-6648-4884-9665-f7bc69c70b6e,2025-02-22 23:21:25.11752+00
d294e79e-607a-46f5-b72b-6f773a94611e,Digestive Aids,843b84fb-52b2-4a75-8af5-a570251b0e9a,2025-02-22 23:21:30.749351+00
dfae05cb-d423-4e5b-a159-b7c6c7a212e2,Fiber Supplements,41770088-36c8-4bd4-9be8-250b35e9797b,2025-02-22 23:21:31.948471+00
e532dd1f-18db-401e-8e28-db6ab051e149,Wound Care,512e2893-cce5-407c-bc07-f9e122bfe0de,2025-02-22 23:21:28.681215+00
e8d114b1-1b0c-411e-bf46-fd0c11f5c6a8,Muscle Relaxants,a4e44069-6648-4884-9665-f7bc69c70b6e,2025-02-22 23:21:25.478307+00
ec1f5241-12bf-481b-9b91-efbb9ec7cfa0,Allergy Relief,4d3da105-686b-4907-a069-9952b383a342,2025-02-22 23:21:35.028484+00
f4182d39-fb52-4fed-af75-9442257e2df0,Skin Care,4bdc45f3-5884-4e12-adcd-f4c8c52628cd,2025-02-22 23:21:34.052219+00
f770abdd-a15f-4055-9c5f-5fd79163c9b7,Topical Treatments,2d155703-4808-4e88-bd84-3acb9cd7efa7,2025-02-22 23:21:32.935728+00
fb0ee20e-7958-428a-996a-7e26faa1e25f,Acne Treatments,10120802-fa0f-4e0d-b9ed-e2f3ef98783a,2025-02-22 23:21:27.692977+00
fc9f68cc-feca-4817-9bec-5c8b3b6f44b0,Hydration,6c3789b4-8076-4dbf-bf29-7a5516df894b,2025-02-22 23:21:33.272781+00
fd53e264-baae-467e-9cdb-f72861bd253b,Sleep Supplements,591824e7-5854-4319-9abf-8edb66636bc0,2025-02-22 23:21:33.107269+00
feba8973-ff28-4650-b8ea-37e9be75a589,Supplements,7214a9c9-a31f-4071-8cc8-4c4bf0fbefb2,2025-02-22 23:21:26.262194+00
